count,pp,Freq
944,03N1007018,12
945,03N1007019,5
946,03N1007020,5
947,03N1007022,8
948,03N1007023,5
949,03N1007024,6
950,03N1007025,7
951,03N1007026,10
952,03N1007028,5
953,03N1007029,9
954,03N1007030,6
955,03N1007031,10
956,03N1007035,5
957,03N1007036,6
958,03N1007038,9
959,03N1007039,5
960,03N1007040,5
961,03N1007047,5
962,03N1007059,11
963,03N1007060,6
964,03N1007902,12
965,03N1007903,6
966,03N1007904,11
967,03N1007906,6
968,03N1007908,5
969,03N1007909,5
970,03N1007914,5
971,03N1007916,6
972,03N1007925,10
973,03N1007926,5
974,03N1007927,9
975,03N1007931,11
976,03N1007934,5
977,03N1007936,5
978,03N1007937,5
979,03N1007945,5
980,03N1007946,5
981,03N1007947,6
982,03N1007948,9
983,03N1007949,5
984,03N1007951,6
985,03N1007953,9
986,03N1007954,5
987,03N1007956,8
988,03N1007957,6
989,03N1007958,10
990,03N1007963,5
991,03N1007964,6
992,03N1007966,11
993,03N1007970,8
994,03N1007981,9
995,03N1007988,5
996,03N1007990,3
997,03N1007992,10
998,03N1007994,9
999,03N1007996,6
1000,03N1008001,11
1001,03N1008006,7
1002,03N1008008,7
1003,03N1008012,8
1004,03N1008019,6
1005,03N1008020,10
1006,03N1008022,5
1007,03N1008023,5
1008,03N1008030,5
1009,03N1008039,6
1010,03N1E00130,10
1011,03N1E00131,10
1012,03N1E00228,6
1013,03N1E00306,11
1014,03N1E00308,5
1015,03N1E00388,6
1016,03N1E00470,5
1017,03N1E00510,5
1018,03N1E00511,5
1019,03N1E00636,13
1020,03N1E00637,6
1021,03N1E00722,8
1022,03N1E00723,10
1023,03N1E00809,10
1024,03N1E00810,7
1025,03N1E01651,1
1026,03N1E03061,9
1027,03N1E03241,8
1028,03N1E03243,8
1029,03N1E03263,11
1030,03N1E03306,10
1031,03N1E03342,13
1032,03N1E03349,6
1033,03N1E03366,9
1034,03N1E03384,6
1035,03N1E03388,11
1036,03N1E03389,12
1037,03N1E03393,6
1038,03N1E03400,12
1039,03N1E03430,11
1040,03N1E03433,10
1041,03N1E03437,10
1042,03N1E03440,11
1043,03N1E03446,5
1044,03N1E03449,10
1045,03N1E03451,10
1046,03N1E03457,9
1047,03N1E03461,10
1048,03N1E03463,11
1049,03N1E03464,6
1050,03N1E03471,7
1051,03N1E03475,8
1052,03N1E03481,7
1053,03N1E03483,8
1054,03N1E03484,11
1055,03N1E03485,10
1056,03N1E03489,5
1057,03N1E03496,11
1058,03N1E03497,11
1059,03N1E03503,13
1060,03N1E03506,8
1061,03N1E03508,11
1062,03N1E03509,7
1063,03N1E03511,8
1064,03N1E03512,11
1065,03N1E03513,6
1066,03N1E03519,10
1067,03N1E03521,13
1068,03N1E03523,9
